text,label,microsoft,google,g_magnitude
The movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure .,1,0.843128204,0.899999976,0.899999976
What distinguishes Time of Favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts .,1,0.718177497,-0.300000012,0.300000012
"Smart , provocative and blisteringly funny .",1,0.994904876,0.699999988,0.699999988
Nothing is sacred in this gut-buster .,0,0.221450418,0.400000006,0.400000006
Filmmakers who can deftly change moods are treasures and even marvels .,1,0.296662509,0.899999976,0.899999976
"So , too , is this comedy about mild culture clashing in today 's New Delhi .",1,0.5,0.300000012,0.300000012
If Steven Soderbergh 's ` Solaris ' is a failure it is a glorious failure .,1,0.144052893,-0.5,0.5
"`` Mostly Martha '' is a bright , light modern day family parable that wears its heart on its sleeve for all to see .",1,0.980133176,0.600000024,0.600000024
"It 's a scattershot affair , but when it hits its mark it 's brilliant .",1,0.189955652,0.699999988,0.699999988
"A pleasant enough romance with intellectual underpinnings , the kind of movie that entertains even as it turns maddeningly predictable .",1,0.897058785,-0.699999988,0.699999988
"Featuring a dangerously seductive performance from the great Daniel Auteuil , `` Sade '' covers the same period as Kaufmann 's `` Quills '' with more unsettlingly realistic results .",1,0.897818983,0.699999988,0.699999988
"A spellbinding African film about the modern condition of rootlessness , a state experienced by millions around the globe .",1,0.960502982,0.899999976,0.899999976
It 's a work by an artist so in control of both his medium and his message that he can improvise like a jazzman .,1,0.5,-0.300000012,0.300000012
"A moody , multi-dimensional love story and sci-fi mystery , Solaris is a thought-provoking , haunting film that allows the seeds of the imagination to germinate .",1,0.5,0.800000012,0.800000012
"A very well-made , funny and entertaining picture .",1,0.932980955,0.899999976,0.899999976
A giggle-inducing comedy with snappy dialogue and winning performances by an unlikely team of Oscar-winners : Susan Sarandon and Goldie Hawn .,1,0.880641937,0.600000024,0.600000024
"Oscar Wilde 's masterpiece , The Importance of Being Earnest , may be the best play of the 19th century .",1,0.5,0.800000012,0.800000012
"It 's so good that its relentless , polished wit can withstand not only inept school productions , but even Oliver Parker 's movie adaptation .",1,0.872862577,0.100000001,0.100000001
The movie does a good job of laying out some of the major issues that we encounter as we journey through life .,1,0.856051147,0.800000012,0.800000012
Brilliantly explores the conflict between following one 's heart and following the demands of tradition .,1,0.975410402,0.899999976,0.899999976
Part low rent Godfather .,0,0.158801556,0,0
Light years \/ several warp speeds \/ levels and levels of dilithium crystals better than the pitiful Insurrection .,1,0.775356174,-0.200000003,0.200000003
"The Lion King was a roaring success when it was released eight years ago , but on Imax it seems better , not just bigger .",1,0.858176529,0.400000006,0.400000006
"A gripping movie , played with performances that are all understated and touching .",1,0.911476851,0.899999976,0.899999976
The piece plays as well as it does thanks in large measure to Anspaugh 's three lead actresses .,1,0.889978886,0.200000003,0.200000003
"The inspirational screenplay by Mike Rich covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",1,0.933075309,0.800000012,0.800000012
"Not the kind of film that will appeal to a mainstream American audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .",1,0.85610646,-0.400000006,0.400000006
Director Andrew Niccol ... demonstrates a wry understanding of the quirks of fame .,1,0.942075193,0.200000003,0.200000003
His healthy sense of satire is light and fun ...,1,0.978793561,0.899999976,0.899999976
"About a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological .",1,0.834024787,-0.699999988,0.699999988
"This is human comedy at its most amusing , interesting and confirming .",1,0.947474122,0.800000012,0.800000012
"An artful , intelligent film that stays within the confines of a well-established genre .",1,0.909457922,0.899999976,0.899999976
"Majidi is an unconventional storyteller , capable of finding beauty in the most depressing places .",1,0.9453789,0,0
Richard Gere and Diane Lane put in fine performances as does French actor Oliver Martinez .,1,0.813202739,0.300000012,0.300000012
The minor figures surrounding -LRB- Bobby -RRB- ... form a gritty urban mosaic .,1,0.5,0.100000001,0.100000001
"This is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .",1,0.807334781,0.800000012,0.800000012
"It 's a demented kitsch mess -LRB- although the smeary digital video does match the muddled narrative -RRB- , but it 's savvy about celebrity and has more guts and energy than much of what will open this year .",1,0.122421056,-0.800000012,0.800000012
"There is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .",1,0.935091019,0.5,0.5
"All-in-all , the film is an enjoyable and frankly told tale of a people who live among us , but not necessarily with us .",1,0.833654523,0.400000006,0.400000006
"An interesting story with a pertinent -LRB- cinematically unique -RRB- message , told fairly well and scored to perfection , I found myself struggling to put my finger on that elusive `` missing thing . ''",1,0.185383707,0.5,1
A movie with a real anarchic flair .,1,0.79589045,0.5,0.5
"Without non-stop techno or the existential overtones of a Kieslowski morality tale , Maelstr̦m is just another Winter Sleepers .",0,0.5,0.100000001,0.100000001
"Nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy .",0,0.180364311,-0.800000012,0.800000012
"If there 's one thing this world needs less of , it 's movies about college that are written and directed by people who could n't pass an entrance exam .",0,0.5,0.100000001,0.100000001
"The script kicks in , and Mr. Hartley 's distended pace and foot-dragging rhythms follow .",0,0.5,-0.300000012,0.300000012
"-LRB- E -RRB- ventually , every idea in this film is flushed down the latrine of heroism .",0,0.5,-0.100000001,0.100000001
I am sorry that I was unable to get the full brunt of the comedy .,0,0.018651515,-0.600000024,0.600000024
No telegraphing is too obvious or simplistic for this movie .,0,0.936194301,-0.600000024,0.600000024
Looks and feels like a project better suited for the small screen .,0,0.829069495,-0.400000006,0.400000006
"In its best moments , resembles a bad high school production of Grease , without benefit of song .",0,0.880390406,0.600000024,0.600000024
Indifferently implausible popcorn programmer of a movie .,0,0.771566391,-0.600000024,0.600000024
"It 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn .",0,0.944829106,0.899999976,0.899999976
"His comedy premises are often hackneyed or just plain crude , calculated to provoke shocked laughter , without following up on a deeper level .",0,0.176637322,-0.300000012,0.300000012
"At times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential .",0,0.191051334,-0.600000024,0.600000024
They should have called it Gutterball .,0,0.5,0,0
"Thekids will probably stay amused at the kaleidoscope of big , colorful characters .",1,0.877221644,0.699999988,0.699999988
"It 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic .",0,0.791507602,-0.899999976,0.899999976
The best that can be said about the work here of Scottish director Ritchie ... is that he obviously does n't have his heart in it .,0,0.888587832,0.800000012,0.800000012
"Less dizzying than just dizzy , the jaunt is practically over before it begins .",0,0.094762117,-0.600000024,0.600000024
Slick piece of cross-promotion .,1,0.892503619,0.800000012,0.800000012
Taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .,0,0.11502251,-0.300000012,0.300000012
It all drags on so interminably it 's like watching a miserable relationship unfold in real time .,0,0.763697982,-0.400000006,0.400000006
Villeneuve spends too much time wallowing in Bibi 's generic angst -LRB- there are a lot of shots of her gazing out windows -RRB- .,0,0.5,-0.300000012,0.300000012
"-LRB- T -RRB- here 's only so much anyone can do with a florid , overplotted , Anne Rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them .",0,0.889739633,-0.699999988,0.699999988
"It 's another video movie photographed like a film , with the bad lighting that 's often written off as indie film naturalism .",0,0.75531888,0,0
I got a headache watching this meaningless downer .,0,0.005407929,-0.600000024,0.600000024
Too much of the humor falls flat .,0,0.204047471,-0.5,0.5
Detox is ultimately a pointless endeavor .,0,0.113282174,-0.800000012,0.800000012
The piquant story needs more dramatic meat on its bones .,0,0.781520963,0.200000003,0.200000003
"Very special effects , brilliantly bold colors and heightened reality ca n't hide the giant Achilles ' heel in `` Stuart Little 2 `` : There 's just no story , folks .",0,0.834762692,0.5,0.5
No way I can believe this load of junk .,0,0.27330339,-0.800000012,0.800000012
"It 's dumb , but more importantly , it 's just not scary .",0,0.757122159,-0.600000024,0.600000024
There is no pleasure in watching a child suffer .,0,0.050428927,-0.800000012,0.800000012
Just embarrassment and a vague sense of shame .,0,0.002922088,-0.899999976,0.899999976
The movie 's accumulated force still feels like an ugly knot tightening in your stomach .,0,0.080846727,-0.699999988,0.699999988
"Even with a green Mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , Kilmer seems to be posing , rather than acting .",0,0.5,-0.300000012,0.300000012
And that leaves a hole in the center of The Salton Sea .,0,0.257754177,0,0
"When the film ended , I felt tired and drained and wanted to lie on my own deathbed for a while .",0,0.01067549,-0.800000012,0.800000012
"The film 's hackneyed message is not helped by the thin characterizations , nonexistent plot and pretentious visual style .",0,0.02307713,-0.899999976,0.899999976
The Iditarod lasts for days - this just felt like it did .,0,0.139009893,0,0
"It feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes .",0,0.922030985,0,0
This movie is maddening .,0,0.250965655,0,0
Should have been someone else -,0,0.277343035,-0.100000001,0.100000001
"The film is based on truth and yet there is something about it that feels incomplete , as if the real story starts just around the corner .",0,0.181034267,-0.5,0.5
Why make a documentary about these marginal historical figures ?,0,0.822068274,-0.600000024,0.600000024
"The lower your expectations , the more you 'll enjoy it .",0,0.24285695,0.699999988,0.699999988
Rarely has leukemia looked so shimmering and benign .,0,0.879936755,-0.100000001,0.100000001
... is an arthritic attempt at directing by Callie Khouri .,0,0.773753524,-0.400000006,0.400000006
I had to look away - this was god awful .,0,0.031744748,-0.899999976,0.899999976
"Velocity represents everything wrong with '' independent film '' as a commodified , sold-out concept on the American filmmaking scene .",0,0.76526165,-0.5,0.5
Just one bad idea after another .,0,0.182376415,0.100000001,0.100000001
"Because of an unnecessary and clumsy last scene , ` Swimfan ' left me with a very bad feeling .",0,0.014513105,-0.899999976,0.899999976
"Though Moonlight Mile is replete with acclaimed actors and actresses and tackles a subject that 's potentially moving , the movie is too predictable and too self-conscious to reach a level of high drama .",0,0.831218481,-0.200000003,0.200000003
Corpus Collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .,0,0.86110568,0,0
"The last 20 minutes are somewhat redeeming , but most of the movie is the same teenage American road-trip drek we 've seen before - only this time you have to read the fart jokes",0,0.051502317,-0.899999976,0.899999976
"It 's hard to like a film about a guy who is utterly unlikeable , and Shiner , starring Michael Caine as an aging British boxing promoter desperate for a taste of fame and fortune , is certainly that .",0,0.773290753,-0.899999976,0.899999976
A by-the-numbers effort that wo n't do much to enhance the franchise .,0,0.851622343,-0.5,0.5
Involves two mysteries -- one it gives away and the other featuring such badly drawn characters that its outcome hardly matters .,0,0.115562469,-0.800000012,0.800000012
Overall the film feels like a low-budget TV pilot that could not find a buyer to play it on the tube .,0,0.103792667,0,0
"It 's of the quality of a lesser Harrison Ford movie - Six Days , Seven Nights , maybe , or that dreadful Sabrina remake .",0,0.5,-0.800000012,0.800000012
