text,label,microsoft,google,minsky
"listening to the "" new age "" station on ?",1,0.963197708,0,1
i didnt mean knee high i ment in lengt it goes down to my knees - and is so cute i love it !,1,0.895223379,0.800000012,1
i wana see the vid kyan,1,0.203804553,0,1
if my mom went on for the love of ray j or any reality show i'd bee pissed .,0,0.164365172,0,0
welcome to twitter xx,1,0.992353201,0.400000006,1
"oh yeah ... however , i'd still like to be in the midst of it all though ... u know ...",1,0.771980286,0.300000012,1
i need a nice tea-drinking pic for our club membership page - anyone got one they'd be happy for me to use ?,1,0.855622292,0.300000012,1
"so twitpic it lol , i love home depot , love working w / my hands and building things , my dad was in construction",1,0.913397729,0.899999976,1
"it's enough to make you sick , eh ? there's nothing sacred anymore",0,0.071523547,-0.600000024,0
""" iran , with its unity and god's grace , will punch the arrogance ( west ) 22 nd of bahman ( feb 11 ) in a way that will leave them stunned , """,0,0.794138551,-0.899999976,0
don't say the n-word,0,0.744929433,0,0
city watchdog in chaos as chief executive hector sants resigns just months before general election,0,0.117616028,0,0
"rt god it is a big news day today ! by popular demand , "" ah ! my goddess season 2 "" will be released in 3 2 - disc sets : may , jul , sep .",1,0.5,0.100000001,1
yes ; hope to release that feature next month,1,0.903620243,0.300000012,1
rt i flip ( in ) love follow them to win a free flip camera ! rt please !,1,0.985123158,0.400000006,1
"well damn ! renee still aint playin , is she ? ! and neither is jack !!",0,0.120125175,-0.100000001,0
"oh , geez , i'd have a lot more songs that way .",0,0.819745898,0,0
hahahah that was worded weird . i'm reading while a candle is burning in my room,0,0.059116155,0,0
on insurance and hospitals : i wonder if there is a connection between the hospital system overload and the format ...,0,0.84876579,-0.300000012,0
chilling textin ( ? ) ... to much info .. foreal you know its los ward yung squad bitch ...,0,0.209688157,0,0
your busy schedule might not leave you a lot of room today for ... more for scorpio 8,0,0.5,0.200000003,0
photo : ( via fuckyeahkristinchenoweth ) omgomgomgomg may 19 th,1,0.5,0.100000001,1
"heres a new idea , how about i get you a spoon so you can read my ass .",0,0.871766746,0,0
rt you want via,1,0.5,0.100000001,1
andy is rambling on c & c this morning - shutup and get on with it man,0,0.5,-0.5,0
"lol , where are you ? i once forgot the car completely and left home without it .",0,0.153895199,0,0
"and yet they are a minority ... despite the election law being changed to skew things in aoun's favor , they remain a minority",0,0.28403762,-0.5,0
the newest member of _________________ !,1,0.866454124,0.100000001,1
"hey adam , jpizzle 1122 ( the microwave dude on utube ) seems to have a good live stream for mw 2 , maybe ask for his help ?",1,0.870188713,0.5,1
little caesars large cheese or pepperoni - no limit - 2 / 10 for 3 . 99 :,1,0.911453664,0,1
oh my goodness i'm emo,0,0.24507916,0.600000024,0
wait wait wait ... im confused ... are you there ?,0,0.206865758,-0.200000003,0
rt new just posted on : www.arranwhisky.com/default.aspx?page competition free bottle and chocolates,1,0.944966078,0.100000001,1
"emm , my lip is starting to hurt :/",0,0.005578965,-0.200000003,0
finally off work . gonna go home and try to sleep whatever this is off so i can go to my other job . i hate to miss work,0,0.052378535,-0.200000003,0
"travel off to rocky start thanks to wayward wallet . just made my flight , but horridly tense .",0,0.892695129,0,0
rt 50 awesome twitter tips to become a pro via,1,0.896778464,0.899999976,1
i was thinking that i wanna make a cake party in my house :o ! lol,1,0.765471935,0.200000003,1
0 tpgvmh 6 uow & feature player_embedded check it out ! in the middle of london ! so cool !,1,0.984512091,0.300000012,1
