,text,label,Y_pred
0,"listening to the "" new age "" station on ?",1,
1,i didnt mean knee high i ment in lengt it goes down to my knees - and is so cute i love it !,1,0.0
2,i wana see the vid kyan,1,0.0
3,if my mom went on for the love of ray j or any reality show i'd bee pissed .,0,0.0
4,welcome to twitter xx,1,0.0
5,"oh yeah ... however , i'd still like to be in the midst of it all though ... u know ...",1,0.0
6,i need a nice tea-drinking pic for our club membership page - anyone got one they'd be happy for me to use ?,1,0.0
7,"so twitpic it lol , i love home depot , love working w / my hands and building things , my dad was in construction",1,0.0
8,"it's enough to make you sick , eh ? there's nothing sacred anymore",0,0.0
9,""" iran , with its unity and god's grace , will punch the arrogance ( west ) 22 nd of bahman ( feb 11 ) in a way that will leave them stunned , """,0,0.0
10,don't say the n-word,0,0.0
11,city watchdog in chaos as chief executive hector sants resigns just months before general election,0,0.0
12,"rt god it is a big news day today ! by popular demand , "" ah ! my goddess season 2 "" will be released in 3 2 - disc sets : may , jul , sep .",1,0.0
13,yes ; hope to release that feature next month,1,0.0
14,rt i flip ( in ) love follow them to win a free flip camera ! rt please !,1,0.0
15,"well damn ! renee still aint playin , is she ? ! and neither is jack !!",0,0.0
16,"oh , geez , i'd have a lot more songs that way .",0,0.0
17,hahahah that was worded weird . i'm reading while a candle is burning in my room,0,0.0
18,on insurance and hospitals : i wonder if there is a connection between the hospital system overload and the format ...,0,0.0
19,chilling textin ( ? ) ... to much info .. foreal you know its los ward yung squad bitch ...,0,0.0
20,your busy schedule might not leave you a lot of room today for ... more for scorpio 8,0,0.0
21,photo : ( via fuckyeahkristinchenoweth ) omgomgomgomg may 19 th,1,0.0
22,"heres a new idea , how about i get you a spoon so you can read my ass .",0,0.0
23,rt you want via,1,0.0
24,andy is rambling on c & c this morning - shutup and get on with it man,0,0.0
25,"lol , where are you ? i once forgot the car completely and left home without it .",0,0.0
26,"and yet they are a minority ... despite the election law being changed to skew things in aoun's favor , they remain a minority",0,0.0
27,the newest member of _________________ !,1,0.0
28,"hey adam , jpizzle 1122 ( the microwave dude on utube ) seems to have a good live stream for mw 2 , maybe ask for his help ?",1,0.0
29,little caesars large cheese or pepperoni - no limit - 2 / 10 for 3 . 99 :,1,0.0
30,oh my goodness i'm emo,0,0.0
31,wait wait wait ... im confused ... are you there ?,0,0.0
32,rt new just posted on : www.arranwhisky.com/default.aspx?page competition free bottle and chocolates,1,0.0
33,"emm , my lip is starting to hurt :/",0,0.0
34,finally off work . gonna go home and try to sleep whatever this is off so i can go to my other job . i hate to miss work,0,0.0
35,"travel off to rocky start thanks to wayward wallet . just made my flight , but horridly tense .",0,0.0
36,rt 50 awesome twitter tips to become a pro via,1,0.0
37,i was thinking that i wanna make a cake party in my house :o ! lol,1,0.0
38,0 tpgvmh 6 uow & feature player_embedded check it out ! in the middle of london ! so cool !,1,0.0
39,"mountains , trees , and beautiful cotton-ish blue sky ! i will fly ! :)",1,0.0
40,"follow me ? please ... (: your great and it would make my day . btw , i wanna shampoo your hair ;d lmao . 3",1,0.0
41,hi there ! nice to see you back !,1,0.0
42,rt i ? new york !,1,0.0
43,my coffin has already been reshaped as it's going with me !!!,1,0.0
44,i went to hot power yoga and i loved it . much better than bikram to me . power good . hot good . sweat good . what's not to love ?,1,0.0
45,"lol , well i considered posting something normal , but since when have i been normal .",0,0.0
46,it saddens my heart 2 c women with black eyes ! :(,0,0.0
47,i cant feel my feet .. that cant be good ..,0,0.0
48,"i hope so dude hahaha 3 . so , which subject do you have right now ? xx",1,0.0
49,"he's been ranting about this for years rt finally blogged "" business is conducted by people , not users """,0,0.0
50,"rt happy birthday to carole king b . 1942 , carmen miranda 1909 ,",1,0.0
51,going to get jubby's valentines day gift with some assistance from lee and shane :) finally got my car registered :) work monday-friday 12 - 4 ?,1,0.0
52,about to spend the next couple of hours of my life working for the man,0,0.0
53,rt i should of threw my self on the floor and screamed ( bro u would be gettin a fat check if u had done dat ),0,0.0
54,need to find a red all lace see thru dress ( like my black one ) for my friend brian goins red && black birthday party this weekend ;; his gift !,1,0.0
55,well deserved . seems emblematic of a new bbc confidence unashamedly to produce docs that are pitched at more advanced level .,1,0.0
56,"yea , that's y i'm not supposed to use it , they wanna attribute all the results to the mouthwash , without chewing gum to help it .",0,0.0
57,how dare you i am now * your darklordwaffle pimp now hoe work that corner * pimp slaps *,0,0.0
58,learning about water heaters - ah the joys of home ownership - and still being single : ),1,0.0
59,2 cans of full fat coke and im bouncing round the place .,1,0.0
60,porn ! ? ! shit wont be e z my g ! trust me i tried ! rt i think i know what i am giving up for lent ... it won ' ...,0,0.0
61,i'm so super duper excitied right now cuz ' i'm gonna watch harry potter !,1,0.0
62,hey ! going to see you in dundrum on friday :) i was talking to ur mam ( my teacher ) today :) no schol because im going to you :) x,1,0.0
63,"rt "" i lift my eyes up to you , to you whose throne is in heaven . "" ps . 123 : 1 ... 3 // love it . and the maker of heaven & earth :)",1,0.0
64,how to succeed in the age of going solo ? a great article for everyone to read in the wsj .,1,0.0
65,what disneyworld commercial ? he's the saints qb and is sooo cute :),1,0.0
66,las year i was so stressed out i forgot i was my birthday . didn't figure it out til 730 that night . my bad .,0,0.0
67,"devote yourself to prayer , being watchful and thankful . very good verse & a great way 2 start a day ! have a fun day in pc !",1,0.0
