text,label,NB_prob
"listening to the "" new age "" station on ?",1,0.42631709656892997
i didnt mean knee high i ment in lengt it goes down to my knees - and is so cute i love it !,1,0.3056944391051914
i wana see the vid kyan,1,0.4902500000000001
if my mom went on for the love of ray j or any reality show i'd bee pissed .,0,0.741009681856077
welcome to twitter xx,1,0.7083511175400201
"oh yeah ... however , i'd still like to be in the midst of it all though ... u know ...",1,0.42584350177886576
i need a nice tea-drinking pic for our club membership page - anyone got one they'd be happy for me to use ?,1,0.6582068343688222
"so twitpic it lol , i love home depot , love working w / my hands and building things , my dad was in construction",1,0.8681087267281948
"it's enough to make you sick , eh ? there's nothing sacred anymore",0,0.6561338900657847
""" iran , with its unity and god's grace , will punch the arrogance ( west ) 22 nd of bahman ( feb 11 ) in a way that will leave them stunned , """,0,0.5030474170876807
don't say the n-word,0,0.2735650050172673
city watchdog in chaos as chief executive hector sants resigns just months before general election,0,0.5966222145675408
"rt god it is a big news day today ! by popular demand , "" ah ! my goddess season 2 "" will be released in 3 2 - disc sets : may , jul , sep .",1,0.964317759587092
yes ; hope to release that feature next month,1,0.35545438756874614
rt i flip ( in ) love follow them to win a free flip camera ! rt please !,1,0.24151017848209963
"well damn ! renee still aint playin , is she ? ! and neither is jack !!",0,0.3278320963411126
"oh , geez , i'd have a lot more songs that way .",0,0.6054867439987882
hahahah that was worded weird . i'm reading while a candle is burning in my room,0,0.6108026029194675
on insurance and hospitals : i wonder if there is a connection between the hospital system overload and the format ...,0,0.7595449115887072
chilling textin ( ? ) ... to much info .. foreal you know its los ward yung squad bitch ...,0,0.9888860443712462
your busy schedule might not leave you a lot of room today for ... more for scorpio 8,0,0.9204193534581224
photo : ( via fuckyeahkristinchenoweth ) omgomgomgomg may 19 th,1,0.49224255538160433
"heres a new idea , how about i get you a spoon so you can read my ass .",0,0.43579885978285604
rt you want via,1,0.4458581677092252
andy is rambling on c & c this morning - shutup and get on with it man,0,0.16215703244585045
"lol , where are you ? i once forgot the car completely and left home without it .",0,0.05009614574988098
"and yet they are a minority ... despite the election law being changed to skew things in aoun's favor , they remain a minority",0,0.22931495540888927
the newest member of _________________ !,1,0.6119841077823351
"hey adam , jpizzle 1122 ( the microwave dude on utube ) seems to have a good live stream for mw 2 , maybe ask for his help ?",1,0.19896695483962892
little caesars large cheese or pepperoni - no limit - 2 / 10 for 3 . 99 :,1,0.028723382392774405
oh my goodness i'm emo,0,0.7842189327166826
wait wait wait ... im confused ... are you there ?,0,0.45845963872759593
rt new just posted on : www.arranwhisky.com/default.aspx?page competition free bottle and chocolates,1,0.0037529999508585238
"emm , my lip is starting to hurt :/",0,0.3615292558764725
finally off work . gonna go home and try to sleep whatever this is off so i can go to my other job . i hate to miss work,0,0.21437090033484923
"travel off to rocky start thanks to wayward wallet . just made my flight , but horridly tense .",0,0.6421422715027975
rt 50 awesome twitter tips to become a pro via,1,0.9418115552233853
i was thinking that i wanna make a cake party in my house :o ! lol,1,0.16324678228221162
0 tpgvmh 6 uow & feature player_embedded check it out ! in the middle of london ! so cool !,1,0.4876245688624791
"mountains , trees , and beautiful cotton-ish blue sky ! i will fly ! :)",1,0.9349423603775506
"follow me ? please ... (: your great and it would make my day . btw , i wanna shampoo your hair ;d lmao . 3",1,0.5304489052087796
hi there ! nice to see you back !,1,0.83750697013428
rt i ? new york !,1,0.49641415826510443
my coffin has already been reshaped as it's going with me !!!,1,0.3819675029935923
i went to hot power yoga and i loved it . much better than bikram to me . power good . hot good . sweat good . what's not to love ?,1,0.9454213186134933
"lol , well i considered posting something normal , but since when have i been normal .",0,0.23399751856314807
it saddens my heart 2 c women with black eyes ! :(,0,0.8483326580006705
i cant feel my feet .. that cant be good ..,0,0.6445827948274319
"i hope so dude hahaha 3 . so , which subject do you have right now ? xx",1,0.6100689729608987
"he's been ranting about this for years rt finally blogged "" business is conducted by people , not users """,0,0.6729450492402327
"rt happy birthday to carole king b . 1942 , carmen miranda 1909 ,",1,0.8568742111748802
