text,gender,rating
"Synopsis : On the daily trek from Juarez , Mexico to El Paso , Texas an ever increasing number of female workers are found raped and murdered in the surrounding desert . Investigative reporter Karina Danes Minnie Driver arrives from Los Angeles to pursue the story and angers both the local police and the factory owners who employee the undocumented aliens with her pointed questions and relentless quest for the truth . Her story goes nationwide when a young girl named Mariela Ana Claudia Talancon survives a vicious attack and walks out of the desert crediting the Blessed Virgin for her rescue . Her story is further enhanced when the `` Wounds of Christ '' stigmata appear in her palms . She also claims to have received a message of hope for the Virgin Mary and soon a fanatical movement forms around her to fight against the evil that holds such a stranglehold on the area . Critique : Possessing a lifelong fascination with such esoteric matters as Catholic mysticism , miracles and the mysterious appearance of the stigmata , I was immediately attracted to the '05 DVD release `Virgin of Juarez ' . The film offers a rather unique storyline blending current socio-political concerns , the constant flow of Mexican migrant workers back and forth across the U . S . Mexican border and the traditional Catholic beliefs of the Hispanic population . I must say I was quite surprised by the unexpected route taken by the plot and the means and methods by which the heavenly message unfolds . `Virgin of Juarez ' is not a film that you would care to watch over and over again , but it was interesting enough to merit at least one viewing . Minnie Driver delivers a solid performance and Ana Claudia Talancon is perfect as the fragile and innocent visionary Mariela . Also starring Esai Morales and Angus Macfadyen Braveheart .",m,0
"THE VIRGIN OF JUAREZ is based on true events surrounding the crime problems of Juarez , Mexico reflected in the gringo exploitation of businesses in neighboring El Paso , Texas . The story contains many important facts that desperately need to be brought into the light , but the impact of the film falters because of the choices made by the writer and director . Karina Danes Minnie Driver is a journalist for a Los Angeles newspaper who has flown to Juarez to investigate the multiple in the hundreds killings of young women . The targets for these murders seem to be young women working in the US sponsored sweatshops in Juarez who are picked up at night after work , raped , beaten and killed . Danes is convinced the Juarez police force is doing nothing and takes on the mission of exposing the tragedies , in part due to her own past issues of being too idle with similar crimes in the US . She meets Father Herrera Esai Morales and a community activist Patrick Angus MacFadyen and together they probe the police files and follow the most recent murder , discovering along the way a survivor named Mariela Ana Claudia Talanc & oacute ; n , a frightened young girl whose memory of her rape and beating is erased by her apparent vision of the Virgin Mary . A father of one of the victims , Isidro Jorge Cervera , Jr . nurtures Mariela and helps her to escape the hospital , placing her in a 'church ' where she becomes a 'saint ' to the people of Juarez who long for the crimes to end . Mariela appears to the public with the stigmata of bleeding hands and offers hope to the victims ' families . Danes works hard to discover evidence that will expose the perpetrators , taking a sheet of photos of 'most wanted men ' from the police office of Detective Lauro Jacob Vargas , and works with the police and Father Herrera to resolve the tragic chain of events that continue in Juarez . Fearing for Mariela 's life , they transport her to Los Angeles where mysterious events end the story . The squeaky , mawkish script was written by Michael Fallon and directed by Kevin James Dobson . Had their vision been more directed toward defining the line between realism and fanaticism , the story would possibly have been better related . There are some good performances by Driver , Talanc & oacute ; n , Morales , and Vargas but the minor roles vary in quality . Reporting atrocities such as the one this film addresses is a valid and valuable contribution of contemporary cinema . It is sad when script and the production dull the impact . Grady Harp , June 07",m,0
"Mexican men are macho rapists , gangsters or ineffective bureaucrats . Mexican women are semi-pagan , pious fools . There are self-serving corporate types and even a pushy , culturally-insensitive liberal female reporter . The story is absurd , the characters are unbelievable , the stereotypes are offensive .",m,0
"Over the past few years , public television has put on a series of vintage & quot ; Doo Wop & quot ; and Rock 'N ' Roll concert reunions that have been absolutely flawless . This latest dvd & quot ; Rock , Rhythm And & quot ; Doo Wop & quot ; , is a total delight to ones ears . Keep in mind all these vintage artists recorded in an era , when vocal talent was essential , to get a recording contract ? They did not have modern day computerized overdub technology , which enables many modern day artist 's with limited ability to survive ? This dvd reads like a who 's who of early rock . The architect of rock , Little Richard starts off this concert with a stomping version of & quot ; Keep-A Rockin & quot ; , and the line-up that follows , keeps this concert at a premium level of performances . You get to see and hear Lou Christie , Little Anthony and the Imperials , Jerry Butler , Lloyd Price , Joey Dee and the Starliters , Frankie Valli , Fred Paris and the Satins and the Countours , just to name a few . However , nothing prepared me for the performance of Jay Black and the Americans ? After singing & quot ; This Magic Moment & quot ; , Jay gave a performance , that could make anybody from the babyboomer era feel young again . As he prepared to sing & quot ; Cara Mia & quot ; , he joked that he first recorded the song at age 25 , and must now at age 62 , hit those same notes ? Hit those notes he did ! Using that opera trained voice , he delivered a powerful performance that had the entire audience on it 's feet , showering him with a well deserved standing ovation . If you are a fan of the old-time vocal and rock sound of the 50 's and 60 's , this is an absolute must have dvd . I highly recommend this to everyone , who enjoys those golden oldies .",m,1
"I recvd this video DVD version as a Christmas gift . I put it on about 11 pm just to see what it was like , and finally got dragged to bed about 4:30 in the morning . It 's the best `` Oldies '' video I 've ever seen . It was recorded LAST YEAR by the original singers - now mostly in their 60 's , and they 're still great - Jay and the Americans , Lou Christie , The Five Satins , Little Richard , Kathy Young , Little Anthony , The Fleetwoods , Jerry Butler , Lloyd Price , Frankie Valli and about 10 other acts . These guys sing for sheer pride and the love of singing , and it all shows . It 's a concert for PBS patrons filmed in Pittsburgh , PA , and distributed around the country to donors . They mention that this was the third concert , and I want ALL of them . Although the Amazon notes say this is a black and white video it is actually in color and very well produced . The producer in fact is just a kid -only about 30 years old - but treats all of these acts with the greatest of respect , and truly celebrates their works . The DVD also has about an hour of excellent interviews .",m,1
"I have the Doo Wop 50 and 51 DVDs , and was anxiously waiting for Rock , Rhythm and Doo Wop to arrive . From the first video , which featured the cr & egrave ; me de la cr & egrave ; me of the 50s groups , to Doo Wop 51 , it was clear that there was a giant leap forward in terms of production . Better lighting , better stage layout , and better sound quality . Sadly , in terms of editing , they went overboard this time . Excessive use of pre-recorded clapping and cheering really irritated me . There are times where you can hardly hear the singing , because the pre-recorded cheering was so loud . Imagine 5 stadiums hosting the Super Bowl all crammed into one theater . It 's simply too artificial . We want not only the authentic groups , but also the authentic reaction from who was there . And believe me , we do n't need any extra cheering to get more goosebumps from watching these wonderful groups . For whoever edited the show , I would also be careful with too much filming of the spectators during the songs and make sure to look back at Doo Wop 51 for better camera angles of the groups . Is this DVD worth buying ? Definately , because groups singers Fred Parris & amp ; The Satins , Little Anthony & amp ; The Imperials , Little Richard , The Limelites , Jerry Butler , Lloyd Price , Bobby Lewis , and the absolutely fantastic Contours make it all worthwhile . I hope TJ Lubinsky keeps on making shows like this , they 're a wonderful experience for all ages .",m,1
Having worked in television for 34 years I can tell you that this is one of the finest doo-wop DVD 's you will ever see . It is done with class and a great respect for the talent . Congratulations to T . J . Lubinsky the producer . Having been brought up in the Bronx and lived through the era of street corner singing I advise you to pick this up today . the performance by Little Anthony and the Imperials on & quot ; Two Kinds of People In The World & quot ; is worth the price alone . I have played this piece over and over . All the performances are great - buy it - you will be a fan of TJ Lubinsky and his special admiration for what I was lucky and privileged enough to live through .,m,1
The people who have reviewed this DVD before me have said it all ! It is just great ! Came across the concert on PBS one night and decided to buy it then and there . After viewing it once I also bought DOO WOP 50 and DOO WOP 51 . What a wonderful nostalgic trip to the past ! You will never regret buying this DVD .,m,1
"I have all of the doo wop DVD 's and this one is as good or better than the 1st ones . Remember once these performers are gone , we 'll never get to see them again . Rhino did an excellent job and if you like or love doo wop and Rock n Roll you 'll LOVE this DVD ! !",m,1
"As I stated in my reviews for Doo Wop 50 and Doo Wop 51 , both they and this show are extremely outstanding in nearly every way . Frankly , I thought Little Richard 's appearance was a little pointless , and while I enjoyed Frankie Ford 's Sea Cruise , both of these performances seemed a little out of place on this show . It seemed like Lou Christie was straining to hit the high notes at times , but hit them he did . I was especially impressed with Little Anthony and the Imperials acappella performance of `` Two Kinds of People in the World '' , and Jay Black and the Americans ' performance of Cara Mia at the very respectable age of 62 is enough to make the hair on the back of your neck stand up every time you watch it . I wonder why the back up group Pure Gold , which appears on all three shows , does n't get a performance of their own , because they are good . This is an excellent addition to anyone 's DVD library . Some notes here : all three of these shows have behind the scenes interviews with various performers . There are five or six on Doo Wop 50 , ten on Doo Wop 51 , and ten or twelve on this one , but this is the only one of the three to have bonus tracks of performances , of which there are four . There is a listing of the tracks on the back of the DVD case , but whoever designed that put them in random order , not as they appear on the DVD . The performance listing as it appears on the DVD is as follows : Keep A Knocking - Little RichardSea Cruise - Frankie FordA Thousand Stars - Kathy Young and the InnocentsSilhouettes - The RaysDo You Love Me - ContoursHave You Heard and You Belong to Me - DupreesPeppermint Twist - Joey Dee and the StarlightersFor Your Love - Ed TownsendRomeo and Juliet - ReflectionsLightning Strikes - Lou ChristieTears on My Pillow , Shimmy Shimmy Ko Ko Bop , Two Kins of People in the World , Hurt So Bad , and Going Out of My Head - Little Anthony & the ImperialsSince I Fell for You - Lenny WelchTossing and Turning - Bobby LewisMr . Blue and Come Softly to Me - FleetwoodsRemember Then and I Believe - Larry Chance and the EarlsDaddy 's Home - Shep and the LimelightersThis Magic Moment and Cara Mia - Jay Black and the AmericansHe Do n't Love You Like I Love You - Jerry Butler and Pure GoldStagger Lee - Lloyd PriceOnce in a While - ChimesThen You Can Tell Me Goodbye - CasinosTo the Aisle and In the Still of the Night - Fred Parris and the SatinsLet 's Hang On - Frankie Valli and cast end credits Bonus tracks can be viewed in any order : Never - EarlsMy Own True Love - DupreesCome a Little Bit Closer - Jay Black and the AmericansFirst I Look at the Purse - Contours .",m,1
